AMD3DNowEx	Amd3DNowEx
FoldMemLeafOpnds	FoldMemoryLeafOperands
ForceIntSrc3	ForceIntSource3
ForceOpndsToMem	ForceOperandToMemory
ForwardSubDefTagSet	ForwardSubDefinitionTagSet
ForwardSubOpndLimit	ForwardSubstitutionOperandLimit
ForwardSubUseTagSet	ForwardSubstitutionUseTagSet
FpDenormal	FPDenormalized
FpNaN	FPNaN
FrameLoc	FrameLocation
FrameSetupOptCtrl	FrameSetupOptimizationControl
FrontEndVer	FrontEndVersion
FuncArg	FunctionArgument
FuncArgFreeList	FunctionArgumentFreeList
FuncArgKind	FunctionArgumentKind
FuncCheckVar	FunctionCheckVariable
FuncDebugEntry	FunctionDebugEntry
FuncDebugEntryList	FunctionDebugEntryList
FuncInfoExtensionObject	FunctionInfoExtensionObject
FuncLinkage	FunctionLinkage
FuncNodeFreeList	FunctionNodeFreeList
FuncOpndFreeList	FunctionOperandFreeList
FuncSymAddOn	FunctionSymbolAddOn
FuncSymFreeList	FunctionSymbolFreeList
FuncSymIConstIterator	FunctionSymbolIConstantIterator
FuncSymRemoveOn	FunctionSymbolRemoveOn
FuncSymWeakSymExtensionObject	FunctionSymbolWeakSymbolExtensionObject
FuncType	FunctionType
FuncUnit	FunctionUnit
FuncUnitList	FunctionUnitList
FuncdeclNode	FunctionDeclarationNode
FuncletFrameInfoIConstIterator	NestedFunctionFrameInfoIConstantIterator
FuncletParamPtrReg	NestedFunctionParameterPointerRegister
FuncletRegion	NestedFunctionRegion
FuncletSymList	NestedFunctionSymbolList
Functype	FunctionType
FunctypeFunctypeMap	FunctionTypeFunctionTypeMap
FunctypeIConstIterator	FunctionTypeIConstantIterator
GCTrackTraverser	GCTrackWalker
GPRelative	GlobalPointerRelative
GSCookieAllocPhase	GuardStackCookieAllocatePhase
GSCookieProtectStartByteOffset	GuardStackCookieProtectStartByteOffset
GSDumpFrameCtrl	GuardStackDumpFrameControl
GSStrictPhase	GuardStackStrictPhase
GenAnd	GenerateAnd
GenBV	GenerateBitVector
GenCaseValueCmp	GenerateCaseValueCompare
GenInit	GenerateInitialize
GenInterfaceTableAccess	GenerateInterfaceTableAccess
GenParamSpill	GenerateParameterSpill
GenPop	GeneratePop
GenPushWithLabel	GeneratePushWithLabel
GenShadowSPSlotsAndAssignments	GenerateShadowStackPointerSlotsAndAssignments
GenTypeVar	GenerateTypeVariable
GenericsCtxtFromInstParam	GenericsContextFromInstanceParameter
GetAlignPaddingSize	GetAlignmentPaddingSize
GetAssemblyDir	GetAssemblyDirectory
GetCallSiteTokenSym	GetCallSiteTokenSymbol
GetColumnNum	GetColumnNumber
GetCondCodeEntry	GetConditionCodeEntry
GetCongruentDefOpnd	GetCongruentDefOperand
GetCurrentNoAlloc	GetCurrentNoAllocate
GetDataPtr	GetDataPointer
GetDefOperand	GetDefinitionOperand
GetDstByIndex	GetDestinationByIndex
GetExactInstrBitSize	GetExactInstructionBitSize
GetExprInfo	GetExpressionInfo
GetFilePtr	GetFilePointer
GetFirstCalleeOrderToRegIdIndex	GetFirstCalleeOrderToRegisterIdIndex
GetFirstExprOpnd	GetFirstExpressionOperand
GetFirstLiveDesc	GetFirstLiveDescription
GetFuncType	GetFunctionType
GetFuncletFrameInfoForRegion	GetNestedFunctionFrameInfoForRegion
GetIndexOfDst	GetIndexOfDestination
GetIndexOfSrc	GetIndexOfSource
GetLabelDefOperand	GetLabelDefinitionOperand
GetLabelDefOpnd	GetLabelDefinitionOpnd
GetLastArgOpnd	GetLastArgumentOperand
GetLegalOpndList	GetLegalOperandList
GetLocId	GetLocationId
GetMDImplFlags	GetMetadataImplementationFlags
GetMgdPtrType	GetManagedPointerType
GetNextDefByBlock	GetNextDefinitionByBlock
GetNextExprOpnd	GetNextExpressionOperand
GetNthArgFuncArg	GetNthArgumentFunctionArgument
GetNthRetType	GetNthReturnType
GetNumEntries	GetNumberEntries
GetOpnd	GetOperand
GetOrderToRegIdArrayForRegClass	GetOrderToRegisterIdArrayForRegisterCategory
GetParentSPRelativeByteOffset	GetParentStackPointerRelativeByteOffset
GetPrimType	GetPrimitiveType
GetPtrFromRva	GetPointerFromRva
GetReachingDef	GetReachingDefinition
GetRegAlloc	GetRegisterAllocator
GetRegClassForType	GetRegisterCategoryForType
GetRegForOpnd	GetRegisterForOperand
GetRegionInsideLabelInstr	GetRegionInsideLabelInstruction
GetRetReg	GetReturnRegister
GetSPRelativeByteOffset	GetStackPointerRelativeByteOffset
GetSsaTagByOpnd	GetSsaTagByOperand
GetSym	GetSymbol
GetTargetArch	GetTargetArchitecture
GetTypeIndexForDef	GetTypeIndexForDefinition
GetUnmgdPtrType	GetUnmanagedPointerType
GetVTablePtr	GetVTablePointer
GetVirtualRegIndex	GetVirtualRegisterIndex
GlobalCallUnwindDelDtor	GlobalCallUnwindDeleteDestructor
